County,last_update,total_tested,confirmed_cases,deaths,negative,lat,lon
Illinois,2020-4-15,116929,24593,948,0,39.839888,-89.510168
Chicago,2020-4-15,0,10192,361,0,41.789896,-87.627734
Adams,2020-4-15,0,27,0,0,40.0578,-91.1353
Alexander,2020-4-15,0,0,0,0,37.167,-89.3606
Bond,2020-4-15,0,4,0,0,38.903,-89.4742
Boone,2020-4-15,0,16,1,0,42.3485,-88.8263
Brown,2020-4-15,0,0,0,0,0,0
Bureau,2020-4-15,0,7,0,0,0,0
Calhoun,2020-4-15,0,1,0,0,0,0
Carroll,2020-4-15,0,5,1,0,42.0386,-89.9627
Cass,2020-4-15,0,0,0,0,0,0
Champaign,2020-4-15,0,90,2,0,40.2139,-88.2461
Christian,2020-4-15,0,24,3,0,39.5672,-89.3227
Clark,2020-4-15,0,4,0,0,0,0
Clay,2020-4-15,0,1,0,0,0,0
Clinton,2020-4-15,0,39,0,0,0,0
Coles,2020-4-15,0,9,0,0,0,0
Cook,2020-4-15,0,7114,269,0,42.050784,-87.963759
Crawford,2020-4-15,0,4,0,0,0,0
Cumberland,2020-4-15,0,2,0,0,0,0
DeKalb,2020-4-15,0,37,1,0,41.833,-88.7109
De Witt,2020-4-15,0,1,0,0,0,0
Douglas,2020-4-15,0,11,0,0,0,0
DuPage,2020-4-15,0,1386,66,0,41.8244,-88.0901
Edgar,2020-4-15,0,0,0,0,0,0
Edwards,2020-4-15,0,0,0,0,0,0
Effingham,2020-4-15,0,3,1,0,39.0622,-88.5565
Fayette,2020-4-15,0,12,1,0,39.067,-89.0179
Ford,2020-4-15,0,4,1,0,40.4989,-88.2072
Franklin,2020-4-15,0,4,0,0,0,0
Fulton,2020-4-15,0,1,0,0,0,0
Gallatin,2020-4-15,0,2,0,0,0,0
Greene,2020-4-15,0,1,0,0,0,0
Grundy,2020-4-15,0,24,0,0,0,0
Hamilton,2020-4-15,0,0,0,0,0,0
Hancock,2020-4-15,0,3,0,0,0,0
Hardin,2020-4-15,0,0,0,0,0,0
Henderson,2020-4-15,0,0,0,0,0,0
