zip,confirmed_cases
60002,26
60004,88
60005,32
60007,45
60008,25
60010,24
60012,14
60013,29
60014,27
60015,61
60016,160
60018,61
60020,8
60021,6
60022,15
60025,123
60026,51
60030,30
60031,59
60035,83
60040,6
60042,7
60043,13
60044,28
60045,67
60046,41
60047,34
60048,40
60050,26
60051,18
60053,63
60056,80
60060,52
60061,33
60062,75
60064,74
60067,23
60068,85
60069,16
60070,16
60073,113
60074,47
60076,136
60077,116
60081,13
60083,18
60084,38
60085,310
60087,94
60088,17
60089,53
60090,71
60091,63
60093,75
60098,45
60099,95
60101,84
60102,29
60103,32
60104,133
60106,70
60107,56
60108,26
60110,18
60115,19
60118,10
60119,8
60120,51
60123,50
60124,13
60126,59
60130,44
60131,48
60133,56
60134,14
60136,11
60137,31
60139,51
60140,12
60142,17
60143,12
60148,70
60153,96
60154,64
60155,28
60156,19
60160,66
60162,30
60163,10
60164,48
60165,19
60169,28
60171,26
60172,25
60173,8
60174,17
60175,22
60176,18
60177,12
60178,9
60181,60
60185,43
60187,9
60188,72
60189,26
60191,12
60192,11
60193,44
60194,24
60201,94
60202,80
60203,14
60301,10
60302,67
60304,23
60305,11
60401,20
60402,176
60403,48
60404,31
60406,65
60409,151
60410,10
60411,213
60415,40
60417,47
60418,22
60419,107
60422,43
60423,55
60425,43
60426,99
60428,62
60429,81
60430,75
60431,58
60432,43
60433,56
60434,18
60435,162
60436,34
60438,91
60439,32
60440,111
60441,69
60442,16
60443,124
60445,33
60446,82
60447,6
60448,34
60449,23
60450,13
60451,36
60452,45
60453,129
60455,62
60456,8
60457,27
60458,17
60459,59
60461,27
60462,72
60463,37
60464,11
60465,35
60466,156
60467,48
60468,8
60469,11
60471,71
60472,27
60473,122
60475,34
60477,51
60478,90
60480,8
60482,16
60484,41
60487,38
60490,51
60491,47
60501,18
60502,20
60503,10
60504,36
60505,65
60506,84
60510,12
60513,36
60514,21
60515,22
60516,28
60517,43
60521,22
60523,26
60525,57
60526,16
60527,102
60532,27
60534,17
60538,17
60540,21
60542,14
60543,38
60544,40
60545,9
60546,36
60551,8
60554,7
60555,9
60558,11
60559,47
60560,17
60561,41
60563,35
60564,42
60565,51
60585,28
60586,78
60601,33
60605,54
60606,13
60607,91
60608,262
60609,177
60610,94
60611,63
60612,227
60613,136
60614,157
60615,137
60616,142
60617,285
60618,198
60619,318
60620,376
60621,139
60622,163
60623,297
60624,223
60625,203
60626,160
60628,298
60629,284
60630,126
60631,80
60632,193
60633,33
60634,239
60636,176
60637,172
60638,158
60639,276
60640,159
60641,171
60642,35
60643,265
60644,277
60645,339
60646,62
60647,149
60649,210
60651,261
60652,161
60653,159
60654,45
60655,105
60656,69
60657,145
60659,185
60660,108
60661,18
60706,57
60707,118
60712,60
60714,93
60803,42
60804,228
60805,59
60827,105
60901,124
60914,39
60915,7
60950,14
60954,8
60964,9
61008,7
61021,9
61032,6
61068,14
61081,13
61101,8
61102,11
61103,10
61104,6
61107,7
61108,13
61109,12
61114,7
61201,21
61241,8
61244,36
61264,6
61265,32
61282,8
61611,7
61614,7
61615,9
61701,29
61704,15
61705,7
61761,17
61764,9
61801,11
61802,14
61821,11
61822,23
61853,7
61874,6
61910,6
62002,18
62025,16
62034,8
62035,6
62040,24
62060,6
62201,7
62203,7
62204,6
62206,16
62207,9
62208,15
62220,10
62221,21
62223,15
62226,30
62233,22
62234,12
62236,23
62258,9
62265,7
62269,18
62278,8
62298,20
62301,10
62305,11
62471,10
62521,28
62526,7
62568,21
62650,10
62702,11
62711,8
62801,29
62901,27
62959,6
