Zip,Unknown,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+
46324,0,0,0,0,0,0,0,0,0
53142,0,0,0,0,0,0,0,0,0
60002,0,0,10,15,17,17,12,0,0
60004,6,12,31,34,35,43,31,16,11
60005,0,0,18,27,24,24,15,6,13
60007,0,11,17,23,25,28,40,33,34
60008,0,15,24,45,55,45,22,12,0
60010,0,0,8,13,0,12,14,8,15
60012,0,0,0,0,0,8,0,11,37
60013,0,0,7,11,13,16,15,0,0
60014,0,10,17,30,24,25,18,0,12
60015,0,0,13,12,21,23,13,26,35
60016,0,24,116,108,138,165,149,62,65
60018,0,21,75,71,82,68,43,23,34
60020,0,0,0,8,8,0,0,0,0
60021,0,0,0,0,0,6,0,0,0
60022,0,0,6,0,0,0,0,0,0
60025,0,11,31,28,66,69,34,17,27
60026,0,0,0,11,16,16,11,13,38
60030,0,0,32,19,20,22,24,6,0
60031,0,17,41,40,34,53,28,14,0
60033,0,13,14,20,24,21,9,0,0
60035,0,9,31,26,31,30,21,18,28
60040,0,7,10,17,19,18,8,11,15
60041,0,0,6,6,6,8,0,0,0
60042,0,0,0,0,6,0,0,0,0
60043,0,0,0,0,0,8,0,0,0
60044,0,0,0,6,0,7,7,10,33
60045,0,0,12,8,15,29,18,0,11
60046,0,12,18,20,14,32,23,8,18
60047,0,6,12,13,22,20,22,29,59
60048,0,0,10,10,18,11,11,15,14
60050,0,0,10,17,29,29,30,21,22
60051,0,0,12,6,10,21,17,0,0
60053,0,7,10,42,34,43,53,15,21
60056,0,19,65,94,100,97,51,20,9
60060,0,30,71,38,61,73,47,0,0
60061,0,7,25,20,23,29,15,6,13
60062,0,0,27,19,35,42,46,36,41
60064,0,72,142,71,74,70,57,17,11
60067,0,9,18,27,22,28,14,9,11
60068,0,0,20,24,26,31,41,23,81
60069,0,0,0,0,0,10,8,8,20
60070,0,9,25,31,47,30,13,6,0
60071,0,0,0,0,0,0,0,0,0
60073,0,52,137,115,163,128,51,23,10
60074,0,19,44,67,58,47,28,7,0
60076,0,24,56,49,62,84,58,24,35
60077,0,14,33,66,55,63,51,24,15
60079,0,0,0,0,0,0,0,0,0
60081,0,0,10,0,10,0,7,0,0
60083,0,0,10,21,14,13,15,0,0
60084,0,11,23,14,23,15,0,24,24
60085,0,157,348,328,407,380,210,63,19
60087,0,42,84,71,107,92,49,22,25
60088,0,0,19,10,0,0,0,0,0
60089,0,0,17,19,26,32,27,14,30
60090,0,25,84,88,96,89,64,26,48
60091,0,6,16,11,22,21,15,15,14
60093,0,0,24,14,25,33,9,8,6
60096,0,0,0,0,6,7,0,0,0
60097,0,0,6,0,0,9,9,0,0
60098,0,13,28,22,26,58,52,27,18
60099,0,52,82,57,92,63,30,26,10
60101,0,35,101,98,129,96,69,20,12
60102,0,0,17,15,19,28,13,0,0
60103,0,0,32,27,41,41,32,0,7
60104,0,24,55,35,69,76,40,38,9
60106,0,20,74,89,82,66,36,16,11
60107,0,21,75,81,78,95,49,22,0
60108,0,0,24,22,23,17,31,28,38
60109,0,0,0,0,0,0,0,0,0
60110,0,42,83,76,111,77,27,10,0
60112,0,0,0,0,0,6,0,0,0
60115,0,6,33,25,16,17,8,6,0
60118,0,0,8,12,0,12,0,0,0
60119,0,0,7,0,9,7,0,0,0
60120,0,73,190,148,181,149,71,27,26
60123,0,29,87,104,107,87,46,21,29
60124,0,0,11,17,16,10,10,0,0
60126,0,8,21,26,36,34,26,17,34
60130,0,0,11,19,25,16,18,12,0
60131,0,24,39,57,58,47,34,8,10
60133,0,32,108,87,111,103,54,14,8
60134,0,0,7,6,11,9,11,19,37
60135,0,0,0,7,0,7,0,0,0
60136,0,0,10,0,7,7,0,0,0
60137,0,0,18,21,21,21,19,0,0
60139,0,35,79,80,93,77,43,28,0
60140,0,0,14,17,14,11,0,0,0
60141,0,0,0,0,0,0,0,0,0
60142,0,0,9,7,13,15,6,6,0
60143,0,0,10,17,15,18,33,16,19
60146,0,0,0,0,0,0,0,0,0
60148,0,13,35,41,35,39,29,21,30
60151,0,0,0,0,0,0,0,0,0
60152,0,0,0,7,10,10,7,8,13
60153,0,23,57,69,81,66,32,30,8
60154,0,10,13,17,26,23,30,24,14
60155,0,17,16,18,21,30,19,12,7
60156,0,8,22,10,22,22,10,0,0
60157,0,0,0,0,6,0,0,0,0
60160,0,36,100,101,110,96,44,18,11
60162,0,7,20,20,22,18,19,8,0
60163,0,0,12,9,22,14,6,0,0
60164,0,24,69,53,77,85,39,11,16
60165,0,16,28,28,23,23,14,7,0
60169,0,23,53,62,35,58,24,11,11
60171,0,9,13,12,16,20,13,0,0
60172,0,7,11,25,21,39,29,17,16
60173,0,7,10,14,15,13,0,0,0
60174,0,0,20,22,20,25,12,8,6
60175,0,0,9,10,10,14,10,6,0
60176,0,14,15,27,21,21,14,0,0
60177,0,7,25,32,18,24,15,27,38
60178,0,0,8,8,9,7,0,0,0
60181,0,7,27,32,41,32,22,18,0
60185,0,44,84,126,102,104,58,25,8
60187,0,0,15,16,7,18,15,0,13
60188,0,21,52,55,50,52,43,29,75
60189,0,0,18,7,8,15,11,8,0
60190,0,0,0,8,0,6,0,0,0
60191,0,12,21,39,27,26,16,7,0
60192,0,0,0,7,8,8,0,0,0
60193,0,11,15,35,29,36,25,12,8
60194,0,0,13,22,23,13,13,0,7
60195,0,0,0,0,0,0,0,0,0
60201,0,12,42,37,41,27,36,41,39
60202,0,26,35,41,55,43,44,23,46
60203,0,0,0,0,0,8,0,0,0
60301,0,0,0,7,0,6,0,0,0
60302,0,0,19,26,34,30,22,19,24
60304,0,0,9,12,13,13,10,7,0
60305,0,0,0,0,10,6,9,0,0
60401,0,0,0,0,7,10,6,0,0
60402,0,66,210,172,234,188,120,50,29
60403,0,7,28,20,31,28,17,6,10
60404,0,8,11,13,18,17,12,0,0
60406,0,30,60,65,54,82,44,18,17
60408,0,0,0,0,0,0,0,0,0
60409,0,27,56,79,97,89,69,21,19
60410,0,0,9,0,6,6,8,0,0
60411,0,37,111,103,128,124,93,76,41
60415,0,0,16,18,17,25,32,23,23
60416,0,0,0,0,0,0,0,0,0
60417,0,0,7,17,20,18,17,17,21
60418,0,0,11,6,10,9,15,6,13
60419,0,10,38,42,41,62,49,24,22
60420,0,0,0,0,0,0,0,0,0
60421,0,0,0,0,0,0,0,0,0
60422,0,0,0,8,13,19,12,0,11
60423,0,0,10,13,19,29,23,12,7
60425,0,10,0,14,20,24,18,13,8
60426,0,19,53,71,66,65,45,36,15
60428,0,12,21,24,33,29,26,9,10
60429,0,13,21,23,29,43,26,15,19
60430,0,0,19,25,28,36,31,42,48
60431,0,9,17,41,36,26,12,0,0
60432,0,29,47,46,65,49,18,9,7
60433,0,15,36,32,34,39,17,12,31
60434,0,0,16,35,38,31,28,7,0
60435,0,22,56,97,80,84,61,57,73
60436,0,13,24,31,37,25,16,7,0
60438,0,12,35,50,55,62,39,15,21
60439,0,0,13,7,13,12,11,7,9
60440,0,49,96,86,120,95,66,65,91
60441,0,6,31,30,30,33,22,7,0
60442,0,0,6,0,9,7,0,0,0
60443,0,16,33,43,61,46,43,25,27
60445,0,9,17,17,31,24,15,6,0
60446,0,38,49,71,79,95,25,15,7
60447,0,0,6,9,9,0,0,0,0
60448,0,0,14,7,19,26,14,11,12
60449,0,0,6,11,10,15,13,0,0
60450,0,0,0,6,0,6,0,0,0
60451,0,0,10,19,20,20,8,0,0
60452,0,0,30,26,24,34,28,7,8
60453,0,9,72,66,75,115,85,75,92
60455,0,6,22,25,33,41,58,39,26
60456,0,0,7,7,9,0,6,0,0
60457,0,8,15,21,18,17,14,0,0
60458,0,0,20,14,24,19,16,0,0
60459,0,16,56,55,58,47,40,24,16
