Zip,Male,Female,Unknown/Left Blank
60490,23,22,0
61874,0,0,0
60482,0,8,0
61705,0,0,0
60502,10,7,0
60554,0,0,0
60542,7,6,0
60450,0,6,0
60442,7,8,0
60435,51,62,0
60425,13,24,0
60085,120,98,0
60452,27,12,0
60098,18,17,0
62207,0,0,0
60472,13,6,0
60462,22,34,0
60143,0,0,0
61265,11,11,0
60047,16,14,0
60439,15,16,0
60652,69,63,0
60429,34,36,0
62234,0,7,0
60120,24,17,0
60171,9,13,0
60035,51,27,0
60513,15,15,0
62959,0,0,0
60107,24,21,0
60564,21,15,0
60455,29,22,0
60432,14,21,0
60203,9,6,0
60805,19,28,0
60551,6,0,0
62221,7,11,0
60053,34,15,0
60434,17,0,0
60465,17,12,0
60119,0,0,0
61244,17,10,0
61021,6,0,0
60044,15,10,0
60471,31,28,0
60645,170,126,0
60827,37,53,0
60060,22,13,0
60191,0,0,0
60148,23,35,0
60169,13,7,0
60438,34,40,0
60104,46,63,0
60015,25,30,0
60628,115,133,0
60586,37,30,0
60532,7,11,0
60558,7,0,0
60634,87,82,0
60005,13,11,0
60523,11,8,0
60410,6,0,0
60402,63,72,0
60620,134,175,0
60073,46,46,0
60440,50,43,0
60012,6,0,0
60160,24,27,0
60504,17,14,0
60130,15,25,0
60642,15,12,0
60610,41,43,0
60469,0,9,0
60093,38,34,0
60505,23,21,0
62301,0,0,0
60101,40,25,0
60089,23,25,0
61109,0,0,0
60621,41,73,0
61101,0,0,0
60631,44,23,0
60964,0,0,0
60638,55,53,0
60526,6,7,0
60188,27,26,0
60176,9,0,0
60601,18,13,0
60611,30,30,0
60133,29,15,0
60062,33,32,0
60651,92,109,0
60417,23,17,0
60433,16,30,0
60061,16,12,0
60534,7,0,0
61764,0,0,0
60108,10,12,0
60102,15,10,0
60484,14,24,0
60202,31,34,0
62220,0,0,0
60525,19,30,0
60561,17,19,0
60540,6,13,0
62034,0,0,0
60630,53,37,0
60423,30,21,0
60637,72,73,0
60189,9,14,0
61241,0,0,0
60305,0,8,0
61801,0,6,0
60640,77,40,0
62650,0,0,0
60585,9,13,0
60016,59,52,0
61853,0,0,0
60201,38,41,0
60501,9,6,0
60503,0,7,0
60076,49,65,0
61704,0,8,0
61114,0,0,0
60004,21,15,42
60441,31,28,0
60559,15,22,0
60056,27,30,0
60426,33,45,0
60660,39,37,0
60517,22,17,0
61802,7,6,0
60643,110,101,0
60013,0,17,0
60068,40,32,0
62226,0,14,0
62236,0,18,0
60636,64,75,0
60007,20,18,0
60618,91,63,0
60404,17,10,0
60527,36,55,0
60020,0,6,0
60622,62,70,0
62298,0,12,0
60026,18,27,0
60649,76,93,0
60607,42,34,0
60010,11,9,0
60458,7,7,0
60516,14,13,0
60448,17,13,0
62278,0,0,0
60162,14,12,0
60181,16,27,0
60616,57,59,0
60002,9,8,0
60467,18,18,0
60091,27,33,0
61103,0,6,0
60619,98,173,0
60025,49,56,0
60633,10,15,0
60623,121,92,0
60415,14,14,0
60950,0,0,0
60657,75,52,0
60131,19,20,0
62305,7,0,0
60193,17,20,0
60447,0,0,0
60409,44,74,0
62208,7,0,0
60646,29,24,0
61910,0,0,0
60155,10,14,0
60419,39,54,0
60163,0,8,0
60172,11,12,0
62206,0,6,0
61108,0,6,0
60478,32,50,0
60468,0,0,0
60506,35,34,0
60177,0,0,0
60632,69,65,0
60624,79,100,0
60164,21,17,0
60134,0,9,0
61701,9,15,0
61821,0,6,0
60192,0,6,0
60612,91,88,0
60014,10,16,0
60069,8,0,0
60185,18,23,0
60418,8,10,0
0,178,131,18
60103,7,19,0
61761,6,10,0
60712,21,21,0
60087,36,36,0
60954,0,0,0
60401,9,10,0
60477,12,28,0
61032,0,0,0
60411,75,102,0
60487,12,18,0
60608,131,64,6
60457,10,10,0
60615,51,64,0
60137,17,11,0
60656,33,19,0
60031,20,27,0
60008,11,10,0
61081,7,6,0
60563,11,19,0
60431,20,29,0
60043,8,0,0
60406,25,31,0
60804,78,80,0
60614,59,72,0
60118,8,0,0
60538,7,0,0
60647,55,49,0
61201,9,10,0
60136,0,0,0
60124,8,0,0
62203,0,0,0
60514,7,13,0
60175,9,10,0
60154,22,34,0
60617,119,123,0
60625,78,66,0
60030,11,13,0
60070,8,0,0
62223,0,8,0
60545,0,0,0
60084,11,19,0
60803,13,17,0
60901,62,42,0
60555,0,6,0
60430,28,34,0
60443,52,64,0
60051,8,8,0
62258,0,0,0
60475,17,13,0
60463,19,13,0
60099,41,35,0
60449,9,10,0
60046,22,17,0
60655,49,35,0
60302,29,30,0
60706,23,17,0
60139,24,21,0
60165,6,6,0
62269,7,7,0
60605,27,23,0
60480,0,0,0
60090,23,31,0
61102,6,0,0
60083,8,7,0
60022,7,6,0
60546,14,11,0
60050,12,12,0
60466,61,66,0
60544,15,17,0
60626,48,58,0
60914,10,13,0
60194,9,11,0
60609,52,70,0
62035,0,0,0
62702,0,7,0
60446,25,39,0
60606,6,6,0
60156,10,6,0
60173,0,0,0
60510,0,0,0
60301,0,6,0
60659,76,71,0
61107,0,6,0
62233,9,8,0
60714,33,35,0
60707,40,45,0
60629,99,100,0
61282,0,0,0
60422,18,19,0
60042,0,0,0
61611,0,0,0
60491,17,18,0
60403,32,11,0
60153,39,43,0
60140,0,7,0
60018,27,21,0
60459,24,22,0
60074,17,21,0
60473,49,54,0
60515,6,13,0
60174,9,0,0
60613,67,52,0
62568,6,14,0
62711,0,0,0
60106,30,17,0
60077,47,48,0
60565,23,20,0
62265,0,0,0
60521,13,8,0
60081,0,0,0
60464,0,6,0
60045,25,32,0
62025,6,7,0
60644,102,121,0
60187,0,0,0
60654,19,22,0
