Zip,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**
53142,0,0,0,0,0,0,0,0
60002,15,0,13,0,0,0,0,0
60004,23,0,17,0,6,12,0,0
60005,17,0,10,0,0,11,0,0
60007,34,0,14,0,0,15,0,0
60008,15,0,15,0,0,18,0,0
60010,18,0,8,0,0,0,0,0
60012,19,0,0,0,0,0,0,0
60013,24,0,0,0,0,0,0,0
60014,40,0,0,0,0,6,0,0
60015,60,0,6,10,0,0,0,0
60016,96,24,103,53,60,56,0,6
60018,24,8,42,10,7,47,0,0
60020,7,0,0,0,0,0,0,0
60021,6,0,0,0,0,0,0,0
60022,14,0,0,0,0,0,0,0
60025,90,0,16,15,21,11,0,0
60026,37,0,10,8,7,0,0,0
60030,21,0,9,0,0,9,0,0
60031,34,8,13,12,8,24,0,0
60033,9,0,0,0,0,11,0,0
60035,88,0,10,10,0,9,0,0
60040,0,0,0,0,0,15,0,0
60041,0,0,0,0,0,0,0,0
60042,0,0,0,0,0,0,0,0
60043,12,0,0,0,0,0,0,0
60044,23,0,0,0,0,0,0,0
60045,55,0,13,0,0,0,0,0
60046,36,0,10,0,0,9,0,0
60047,37,0,12,0,0,0,0,0
60048,31,0,7,0,0,0,0,0
60050,39,0,0,0,0,13,0,0
60051,16,0,0,0,0,0,0,0
60053,36,0,20,14,29,8,0,0
60056,47,0,50,16,15,38,0,0
60060,19,0,19,0,7,34,0,0
60061,26,0,7,0,8,6,0,0
60062,62,0,13,11,8,0,0,0
60064,52,37,22,7,9,77,0,0
60067,17,0,10,6,0,0,0,0
60068,75,0,16,0,16,0,0,0
60069,16,0,0,0,0,0,0,0
60070,7,0,8,0,0,31,0,0
60073,33,14,32,7,9,72,0,0
60074,19,0,23,7,0,38,0,0
60076,53,19,38,44,44,15,0,0
60077,45,13,24,33,32,14,0,0
60081,12,0,0,0,0,0,0,0
60083,0,10,0,0,0,0,0,0
60084,32,0,25,0,0,7,0,0
60085,48,50,131,25,6,395,0,0
60087,15,17,35,8,0,95,0,0
60088,8,0,0,0,0,0,0,0
60089,40,0,19,6,8,9,0,0
60090,27,0,22,11,16,64,0,0
60091,62,0,0,7,0,0,0,0
60093,57,0,11,6,0,12,0,0
60096,6,0,0,0,0,0,0,0
60097,10,0,0,0,0,0,0,0
60098,47,0,8,0,0,26,0,0
60099,17,42,35,6,0,85,0,0
60101,23,0,32,13,0,84,0,0
60102,20,0,0,0,0,0,0,0
60103,21,0,20,0,0,6,0,0
60104,10,121,25,0,0,18,0,0
60106,18,0,33,6,7,69,0,0
60107,22,0,58,0,9,30,0,0
60108,21,7,10,0,0,7,0,0
60110,12,0,25,0,0,26,0,0
60115,9,10,0,0,0,0,0,0
60118,10,0,0,0,0,0,0,0
60119,7,0,0,0,0,0,0,0
60120,25,0,21,0,0,53,0,0
60123,27,8,20,0,0,39,0,0
60124,0,0,0,0,0,0,0,0
60126,58,8,15,10,0,8,0,0
60130,9,22,9,0,0,8,0,0
60131,24,0,23,0,7,34,0,0
60133,20,11,43,0,6,39,0,0
60134,31,0,0,0,0,0,0,0
60136,0,0,0,0,0,0,0,0
60137,15,0,8,0,0,11,0,0
60139,15,0,24,7,12,48,0,0
60140,13,0,0,0,0,0,0,0
60141,0,0,0,0,0,0,0,0
60142,15,0,0,0,0,6,0,0
60143,6,0,6,0,0,6,0,0
60148,39,14,21,0,8,18,0,0
60152,0,0,0,0,0,0,0,0
60153,0,89,21,10,0,20,0,0
60154,17,37,8,0,0,10,0,0
60155,0,33,0,0,0,0,0,0
60156,15,0,0,0,0,7,0,0
60160,48,6,37,10,0,47,0,0
60162,7,24,9,0,0,15,0,0
60163,0,7,6,0,0,11,0,0
60164,37,0,20,0,0,45,0,0
60165,9,0,12,0,0,18,0,0
60169,11,0,32,0,0,17,0,0
60171,17,0,9,0,0,15,0,0
60172,15,0,12,0,0,0,0,0
60173,0,0,0,0,0,0,0,0
60174,12,0,0,0,0,8,0,0
